,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20
0,art,social,culture,service,language,model,project,user,learn,open,learn,game,avatar,immersive,communication,right,education,framework,system,user
1,metaverse,user,game,innovation,interactive,object,design,agent,base,system,online,web,interaction,display,digital,ethic,student,principle,information,frame
2,team,create,organizational,effect,model,metadata,application,content,e,metaverse,educational,new,social,user,design,paper,learn,currency,user,system
3,technology,content,simulation,e,image,architecture,data,search,metaverse,web,museum,compute,human,self,system,avatar,study,software,home,metaverse
4,communication,networking,problem,metaverse,base,chinese,internet,web,synchronous,base,learning,student,interactive,system,user,agency,experience,user,interface,server
5,metaverses,community,element,com,simulation,film,service,engine,enhancement,source,project,development,online,support,behavior,moral,research,real,automation,experience
6,mixed,medium,learn,internet,interface,specify,end,object,preference,service,art,cloud,real,little,awareness,real,sl,argument,process,time
7,post,online,serious,message,create,many,immersive,link,learner,peer,teach,learn,presence,technical,tool,theory,teach,value,generate,response
8,biological,network,make,instant,proceeding,language,share,multi,study,number,approach,cultural,animation,metaverse,metaverse,person,activity,paper,application,method
9,collaboration,business,provide,protocol,dimensional,component,technology,region,language,offer,new,social,study,model,sensor,regard,learning,basis,represent,performance
10,interaction,information,attempt,adoption,network,future,library,simulation,information,space,avatar,knowledge,participant,large,usability,always,group,transaction,base,evaluation
11,data,technology,due,sale,graphic,still,way,interactive,communication,traditional,dimensional,design,identity,human,camera,designer,technology,expect,public,important
12,emerge,product,traditional,interoperability,system,technology,program,human,student,capability,distance,project,control,synthetic,internet,universal,work,studio,model,paper
13,capability,form,compute,measure,paper,layer,designer,dimensional,mode,particular,system,approach,result,issue,ubiquitous,ethical,base,freedom,dimensional,software
14,deployment,digital,metaverse,secondlife,data,popular,architecture,intelligent,asynchronous,opensimulator,st,construction,self,scale,research,people,space,license,data,internet
15,system,internet,key,network,light,science,metaverse,design,system,network,paper,program,survey,strategy,video,respect,educational,generic,management,approach
16,digital,transfer,difficult,measurement,application,information,enhance,order,technology,enable,describe,problem,data,address,twitter,representation,provide,theory,immersive,visit
17,research,future,mobile,solution,technology,format,study,collect,english,distribute,education,base,relationship,c,real,well,present,boundary,general,video
18,maintenance,ict,manage,simple,multimedia,data,path,autonomous,change,relatively,pedagogical,paper,model,implementation,network,end,practice,meta,recommendation,interest
19,cross,paper,organization,model,visual,well,provide,desire,author,tool,design,model,graphic,approach,make,conduct,also,design,natural,client
